obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""486.27230788""","=""0.00000019""","=""""","=""3.4375e+06""",AAA,"=""82259.2850014""","=""102823.894250""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""486.273282785""","=""0.000000012""","=""""","=""1.7190e+06""",AAA,"=""82259.2850014""","=""102823.8530211""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""656.4522552""","=""0.0000024""","=""656.4522556""","=""0.0000009""","=""""","=""5.3877e+07""",AAA,"=""82258.9191133""","=""97492.319433""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,"=""T7771""","=""L2752""",
"=""""","=""""","=""656.4527""","=""0.0004""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c67""",
"=""""","=""""","=""656.4535""","=""0.0009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c68""",
"=""656.4537684""","=""0.0000004""","=""656.4537685""","=""0.0000003""","=""""","=""2.2448e+07""",AAA,"=""82258.9543992821""","=""97492.319611""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""L6891c38""",
"=""""","=""""","=""656.4564672""","=""0.0000003""","=""""","=""2.1046e+06""",AAA,"=""82258.9191133""","=""97492.221701""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""656.4579878""","=""0.0000003""","=""""","=""""",,"=""82258.9543992821""","=""97492.221701""","=""2s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",M1,"=""""","=""""",
"=""""","=""""","=""656.4583""","=""0.0006""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c66""",
"=""656.4584404""","=""0.0000004""","=""656.4584403""","=""0.0000003""","=""""","=""2.2449e+07""",AAA,"=""82258.9543992821""","=""97492.211200""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""L6891c38""",
"=""656.460""","=""0.003""","=""656.4632""","=""0.0007""","=""500000""","=""4.4101e+07""",AAA,"=""82259.158""","=""97492.304""","=""2""","=""""","=""""","=""3""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""""","=""""","=""656.4608""","=""0.0009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c69""",
"=""656.466464""","=""0.000006""","=""656.4664660""","=""0.0000003""","=""""","=""6.4651e+07""",AAA,"=""82259.2850014""","=""97492.355566""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,"=""T7771""","=""L2752""",
"=""""","=""""","=""656.46662""","=""0.00003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c71""",
"=""""","=""""","=""656.4667""","=""0.0003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c70""",
"=""""","=""""","=""656.4680232""","=""0.0000009""","=""""","=""1.0775e+07""",AAA,"=""82259.2850014""","=""97492.319433""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""656.4722349""","=""0.0000003""","=""""","=""4.2097e+06""",AAA,"=""82259.2850014""","=""97492.221701""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""825.226""","=""0.010""","=""825.2242""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109610.2232]""","=""3""","=""""","=""""","=""40""","=""""","=""""",,"=""""","=""L7400c29""",
"=""825.456""","=""0.010""","=""825.4667""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109606.6628]""","=""3""","=""""","=""""","=""39""","=""""","=""""",,"=""""","=""L7400c29""",
"=""825.726""","=""0.010""","=""825.7288""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109602.8177]""","=""3""","=""""","=""""","=""38""","=""""","=""""",,"=""""","=""L7400c29""",
"=""826.016""","=""0.010""","=""826.0126""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109598.6566]""","=""3""","=""""","=""""","=""37""","=""""","=""""",,"=""""","=""L7400c29""",
"=""826.316""","=""0.010""","=""826.3206""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109594.1439]""","=""3""","=""""","=""""","=""36""","=""""","=""""",,"=""""","=""L7400c29""",
"=""826.655""","=""0.003""","=""826.6557""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109589.2390]""","=""3""","=""""","=""""","=""35""","=""""","=""""",,"=""""","=""L7400c29""",
"=""827.021""","=""0.003""","=""827.0210""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109583.8949]""","=""3""","=""""","=""""","=""34""","=""""","=""""",,"=""""","=""L7400c29""",
"=""827.421""","=""0.003""","=""827.4205""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109578.0577]""","=""3""","=""""","=""""","=""33""","=""""","=""""",,"=""""","=""L7400c29""",
"=""827.859""","=""0.003""","=""827.8584""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109571.6647]""","=""3""","=""""","=""""","=""32""","=""""","=""""",,"=""""","=""L7400c29""",
"=""828.341""","=""0.003""","=""828.3399""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109564.6431]""","=""3""","=""""","=""""","=""31""","=""""","=""""",,"=""""","=""L7400c29""",
"=""828.870""","=""0.003""","=""828.8710""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109556.9077]""","=""3""","=""""","=""""","=""30""","=""""","=""""",,"=""""","=""L7400c29""",
"=""829.458""","=""0.003""","=""829.4588""","=""0.0006""","=""170""","=""""",,"=""97492.304""","=""[109548.3584]""","=""3""","=""""","=""""","=""29""","=""""","=""""",,"=""""","=""L7400c29""",
"=""830.111""","=""0.003""","=""830.1116""","=""0.0006""","=""210""","=""""",,"=""97492.304""","=""[109538.8768]""","=""3""","=""""","=""""","=""28""","=""""","=""""",,"=""""","=""L7400c29""",
"=""830.838""","=""0.003""","=""830.8395""","=""0.0006""","=""250""","=""""",,"=""97492.304""","=""[109528.3223]""","=""3""","=""""","=""""","=""27""","=""""","=""""",,"=""""","=""L7400c29""",
"=""831.655""","=""0.003""","=""831.6546""","=""0.0006""","=""290""","=""""",,"=""97492.304""","=""[109516.5267]""","=""3""","=""""","=""""","=""26""","=""""","=""""",,"=""""","=""L7400c29""",
"=""832.571""","=""0.003""","=""832.5713""","=""0.0006""","=""290""","=""""",,"=""97492.304""","=""[109503.2875]""","=""3""","=""""","=""""","=""25""","=""""","=""""",,"=""""","=""L7400c29""",
"=""833.607""","=""0.003""","=""833.6074""","=""0.0006""","=""370""","=""""",,"=""97492.304""","=""[109488.3592]""","=""3""","=""""","=""""","=""24""","=""""","=""""",,"=""""","=""L7400c29""",
"=""834.783""","=""0.003""","=""834.7846""","=""0.0006""","=""500""","=""""",,"=""97492.304""","=""[109471.4416]""","=""3""","=""""","=""""","=""23""","=""""","=""""",,"=""""","=""L7400c29""",
"=""836.130""","=""0.003""","=""836.1301""","=""0.0006""","=""500""","=""""",,"=""97492.304""","=""[109452.1650]""","=""3""","=""""","=""""","=""22""","=""""","=""""",,"=""""","=""L7400c29""",
"=""837.678""","=""0.003""","=""837.6777""","=""0.0006""","=""600""","=""""",,"=""97492.304""","=""[109430.0696]""","=""3""","=""""","=""""","=""21""","=""""","=""""",,"=""""","=""L7400c29""",
"=""839.471""","=""0.003""","=""839.4703""","=""0.0006""","=""700""","=""1.5167e+03""",AAA,"=""97492.304""","=""[109404.5776]""","=""3""","=""""","=""""","=""20""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""841.563""","=""0.003""","=""841.5630""","=""0.0006""","=""700""","=""1.9643e+03""",AAA,"=""97492.304""","=""[109374.9555]""","=""3""","=""""","=""""","=""19""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""844.027""","=""0.003""","=""844.0274""","=""0.0006""","=""700""","=""2.5804e+03""",AAA,"=""97492.304""","=""[109340.2604]""","=""3""","=""""","=""""","=""18""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""846.959""","=""0.003""","=""846.9581""","=""0.0006""","=""700""","=""3.4442e+03""",AAA,"=""97492.304""","=""[109299.2642]""","=""3""","=""""","=""""","=""17""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""850.483""","=""0.003""","=""850.4819""","=""0.0006""","=""(1200)""","=""4.6801e+03""",AAA,"=""97492.304""","=""[109250.3433]""","=""3""","=""""","=""""","=""16""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""854.773""","=""0.003""","=""854.7731""","=""0.0006""","=""(1400)""","=""6.4901e+03""",AAA,"=""97492.304""","=""[109191.3154]""","=""3""","=""""","=""""","=""15""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""860.075""","=""0.003""","=""860.0754""","=""0.0006""","=""2300""","=""9.2117e+03""",AAA,"=""97492.304""","=""[109119.1917]""","=""3""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""L7400c29""",
